Center,Phone number,Days,Hours,Full Address,Latitude,Longitude
Community Health Action Of Staten Island,(718) 808-1477,"Tu, Sat/W/F",10A-2P/2-6P/12-4P,"2134 Richmond Ter, Staten Island, NY 10302",40.640214,-74.134309
Reach Out And Touch Food Pantry,(718) 442-5007,Sat/Sat,12-1PM/11AM-1PM,"51 Cottage Pl, Staten Island, NY 10302",40.635894,-74.130502
Christ Abundant Life Ministries,(718) 273-0372,Thu,5:30 PM - 6:30 PM,"121 Grandview Ave, Staten Island, NY 10303",40.63646,-74.164951
Christian Pentecostal Church,(718) 273-5850,Tue,1 PM - 4 PM,"900 Richmond Rd, Staten Island, NY 10304",40.604892,-74.092353
Feeding With Tlc Inc,(718) 447-0526,Sat,10:30 AM - 12:30 PM,"309 St Pauls Ave, Staten Island, NY 10304",40.630304,-74.08118
Mas Staten Island Center Food Pantry,(800) 668-0742,Fri,3 PM - 6 PM,"180 Burgher Ave, Staten Island, NY 10304",40.59242,-74.091577
Our Lady Of Good Counsel Church (Staten Island),(718) 447-1503,Sat,9:30 AM - 11 AM,"42 Austin Pl, Staten Island, NY 10304",40.631313,-74.086033
"Project Hospitality, Inc.",(718) 815-0800,"Tue, Thu",9 AM - 11 AM,"205 Canal St, Staten Island, NY 10304",40.625201,-74.079671
Stapleton U.A.M.E. Church,(718) 273-2857,"Tue, Fri",10 AM - 1 PM,"49 Tompkins Ave, Staten Island, NY 10304",40.623363,-74.078756
The Salvation Army Stapleton Corps,(718) 448-8480,Tue-Thu,12 PM - 1:30 PM,"15 Broad St, Staten Island, NY 10304",40.625398,-74.075445
"United Church Of Praise International Ministries, Inc",(718) 314-8779,"Fri, Sun",1 PM - 3 PM,"487 Vanderbilt Ave, Staten Island, NY 10304",40.614536,-74.08575
City Harvest - Stapleton Mobile Market,(646) 412-0740,"Tue, Sat",9:30 AM - 11:30 AM,"75 Hill St, Staten Island, NY 10304",40.622139,-74.080623
Feeding With Tlc Inc Soup Kitchen,(718) 447-0526,Sat,10:30 AM - 12:30 PM,"175 Beach St, Staten Island, NY 10304",40.62963,-74.081214
"Project Hospitality, Inc.",(718) 815-0800,"Tue, Thu",11:30 AM - 1 PM,"211 Canal St, Staten Island, NY 10304",40.625096,-74.07981
Stapleton U.A.M.E. Church,(718) 273-2857,Wed,12 PM - 1 PM,"49 Tompkins Ave, Staten Island, NY 10304",40.623363,-74.078756
The Salvation Army Stapleton Corps,(718) 448-8480,"Mon, Fri",11:30 AM - 1 PM,"15 Broad St, Staten Island, NY 10304",40.625398,-74.075445
Health Essential Association Inc,(607) 689-6618,Tue,10:30 AM - 11:30 AM,"322 New Dorp Ln, Staten Island, NY 10306",40.571485,-74.111892
St. Edward Food Pantry,(718) 984-1625,Fri,10 AM - 1 PM,"6581 Hylan Blvd, Staten Island, NY 10309",40.511892,-74.222443
Mesivtha Of Staten Island,(718) 356-5412,Wed,11 AM - 12 PM,"1870 Drumgoole Rd E, Staten Island, NY 10309",40.527652,-74.214453
Bait-Ul Jamaat-House Community Inc,(347) 289-7991,Thu,12 PM - 2 PM,"332 Broadway, Staten Island, NY 10310",40.633096,-74.117033
Calvary Assembly Of God,(718) 356-4555,Thu,9 AM - 12 PM,"4055 Richmond Ave, Staten Island, NY 10312",40.539694,-74.16054
Jewish Community Center Of Staten Island,(718) 475-5242,M-W/Thu/Fri,9A-5P/9A-6:30P/9A-3P,"1466 Manor Rd, Staten Island, NY 10314",40.594743,-74.126204
